NPCINC,households,vatable_amount,exempt_amount,total_amount,avg_vatable,avg_exempt,avg_total,vatable_share_pct,exempt_share_pct,vatable_share_of_total_pct,exempt_share_of_total_pct
1,20000,1151613689.659008,1429782865.4714508,2581396555.1304593,57580.684482950404,71489.14327357254,129069.82775652297,44.61204100432401,55.387958995675966,5.763947800032272,7.354298188495058
2,18753,1346245796.458787,1530720240.287384,2876966036.7461715,71788.28968478573,81625.35275888573,153413.6424436715,46.79394123058128,53.2060587694187,6.738101992430255,7.873484402490911
3,17672,1436509340.5013554,1554278106.959798,2990787447.4611545,81287.30989708893,87951.45467178577,169238.76456887473,48.03114115383866,51.968858846161304,7.189880536554137,7.994657750121298
4,16828,1534231651.719158,1613824280.9340773,3148055932.653235,91171.36033510565,95901.13388008541,187072.49421519105,48.735844741680985,51.26415525831902,7.678990995917211,8.300942242659579
5,16042,1647209382.132782,1667469128.361228,3314678510.4940095,102681.04863064343,103943.96760760678,206625.0162382502,49.69439349601621,50.3056065039838,8.244456434994326,8.57687239526041
6,15227,1762217048.785652,1740379133.324668,3502596182.110319,115729.75955773638,114295.60210971747,230025.3616674538,50.31173898339356,49.68826101660646,8.820081918733528,8.95189571549651
7,14971,1966624678.2084937,1878212016.2889001,3844836694.497393,131362.2789532091,125456.68400834281,256818.96296155188,51.14975835054487,48.85024164945515,9.843163631378387,9.660859395212077
8,14713,2229424429.587918,2079067571.944541,4308492001.53246,151527.521891383,141308.20172259505,292835.72361397813,51.74488959930639,48.255110400693574,11.158504064037691,10.693989449278277
9,14543,2677231725.3092737,2413999820.342768,5091231545.652042,184090.74642847237,165990.4985451948,350081.2449736672,52.585149610719505,47.41485038928048,13.399826740373525,12.416762666910492
10,14519,4228291823.972303,3533725814.5663595,7762017638.538664,291224.7278719129,243386.30860020383,534611.0364721168,54.47413315551744,45.52586684448253,21.163045885548676,18.176237794075394
