NPCINC,number_households,food,alcohol_&cigarettes,clothing,housing_&utilities,furnishings_&maintenance,health,transport,ict_&equipments,recreation,education,resto_&accomodation,insurance_&financial,personal_care,family_occasions,total_expenditures,food_share,alcohol_&cigarettes_share,clothing_share,housing_&utilities_share,furnishings_&maintenance_share,health_share,transport_share,ict_&equipments_share,recreation_share,education_share,resto_&accomodation_share,insurance_&financial_share,personal_care_share,family_occasions_share
1,2747642.5051594405,15990838401.663883,532822247.77749056,564853994.8568486,4851582289.292074,730437484.3743984,408542791.85708535,1647689285.140657,570623163.4442341,234558957.22190884,778563951.5914747,874077739.0921334,118238780.85101002,1275190823.7764244,440270749.1952642,29018290660.134888,55.10606599454867,1.8361600068658688,1.9465446861514861,16.719049189059028,2.5171623405711765,1.4078802802066435,5.678105938211724,1.9664258316502152,0.8083141766311693,2.683011072947381,3.012161361706032,0.407462942031405,4.394438110471724,1.5172180689474755
2,2748295.654094682,17716769683.024975,679454265.2784905,654181871.9700599,6506024243.425172,881410870.8102571,588463889.9338249,2209567133.014458,881329606.7710027,261434219.26474005,988601374.006121,1383777550.802032,261001773.6566656,1481422342.858448,571700074.8991228,35065138899.71537,50.52530872241543,1.937691640753791,1.865618938059789,18.554109430543228,2.5136386122155403,1.6782020787563503,6.3013214900808325,2.5134068605618913,0.7455673283155372,2.8193282702614524,3.946305630670878,0.7443340646763678,4.22477249297442,1.6303944397144923
3,2747874.694440411,18475048280.20544,723181191.1230648,696214900.6704736,7845053068.355312,974659334.5917561,703343414.5805366,2648397049.207753,1136884432.5229328,264581837.98253682,1068174669.8161203,1842159837.1615276,388142803.2759122,1602883322.3669276,682648088.6390525,39051372230.499344,47.309600725826286,1.8518713935441584,1.782818018688536,20.089058643189702,2.495838888423341,1.8010722143874405,6.781828391524075,2.9112534786550204,0.6775225116824369,2.735306363912789,4.717272996933999,0.9939287177539193,4.104550572271739,1.7480770832065677
4,2747979.4784429423,19578006372.944317,829365937.7552532,770862790.7820274,9407953174.917706,1113292305.385157,933054622.6116786,3056504343.763991,1517334535.4827626,292882708.8466204,1248776335.518828,2308756955.598609,607037385.9403099,1785484458.457864,785297271.2795862,44234609199.284706,44.25947629545443,1.874925432298528,1.7426689299076992,21.268308560234406,2.51679019106867,2.109331673776303,6.90975776454563,3.4301976731543014,0.6621121202340281,2.8230753207129524,5.2193452081768195,1.3723132111453715,4.036397044707555,1.7753005745833172
5,2747628.851582892,20466134261.536186,892867580.119711,839266737.9927957,10839035353.411783,1238236380.653859,1154659765.2159462,3427165351.267246,1841722620.6008615,309018805.18248,1344649789.324526,2854817394.72919,799621768.2445443,1924382296.1743786,899836654.5344368,48831414758.987946,41.91181918965224,1.82846961229066,1.7187024830942865,22.19684890742745,2.5357372641470484,2.364583887063028,7.018361782435228,3.7715938186326516,0.6328278767012413,2.753657242906379,5.846272136122638,1.6375150549930877,3.940869429387514,1.8427413151465413
6,2748336.931776766,21288671532.33857,952376828.9522928,954257755.0101978,12431566734.758919,1416127970.1519325,1364728389.6819553,3896540174.1615334,2239749522.5671415,358339276.3098918,1598980743.7422907,3289534267.806326,1124120003.5225124,2082554866.2391062,1019773114.656287,54017321179.89896,39.41082428252765,1.7630952593530191,1.7665773388357109,23.014037836783697,2.6216182869114677,2.526464400440874,7.213501315965891,4.1463543057011165,0.6633784654305254,2.9601259537048406,6.089776752999064,2.081036191666651,3.855346434717446,1.8878631749620474
7,2747846.3569293353,22061555504.91302,955642604.0141063,1084593772.8963394,14147127100.021929,1576895228.8855264,1723416462.286183,4459609552.240657,2704844016.0393763,404942361.4823018,1802389365.0468307,3991236985.984437,1518015823.196262,2283985215.880204,1163339825.619204,59877593818.50638,36.84442559896996,1.5959936648602364,1.8113516321043681,23.626746163018787,2.6335313901644377,2.878232661636324,7.447877023512466,4.517289095213091,0.6762836240709896,3.010123236598338,6.665660277001419,2.535198437995831,3.814423844089561,1.942863350764189
8,2747984.4327531583,23144044156.04396,987873604.8312033,1304178565.0866275,16484645032.136467,1920950368.4499774,2283824261.0636725,5304285285.16531,3291017537.119004,524495019.25161153,2390241066.275153,4459481035.307385,2107405267.073654,2527592419.688267,1372906620.661859,68102940238.15416,33.98391328643059,1.4505594051837347,1.915010659636647,24.205482134090104,2.820657025574029,3.353488488275543,7.788628900039214,4.8324162299166575,0.7701503303931762,3.5097472413328177,6.54814758322137,3.094440944405798,3.7114292141416274,2.0159285573586714
9,2748042.5822946103,23895637572.13513,904561552.320731,1651759197.7995899,20405076993.781925,2533328518.51075,2931918886.940459,6580995077.423144,4077347721.002719,708425955.3451478,3054459709.5757685,5242842451.904932,3159787854.8935246,2883414936.4238124,1716196408.9157124,79745752836.97334,29.96477771171802,1.1343068691945934,2.0712817160010153,25.587666136272663,3.1767566652605437,3.676583119021109,8.252470938329308,5.112934013348855,0.8883557181953057,3.8302475064974217,6.574447246893554,3.9623274500313195,3.6157598791730825,2.152085030063212
10,2748063.5193039025,26275826963.716526,907616032.7516629,2882140572.391821,32656467970.80687,5886209261.963962,5379905142.271719,11671019419.119444,5904474902.454605,1697326386.0221417,5230961336.751392,7236301059.363922,6057604311.08663,4011181538.697936,2806102747.0469003,118603137644.44553,22.154411329730188,0.7652546558022436,2.430071100675302,27.534236125106638,4.962945651244014,4.536056338070811,9.8403968486124,4.97834628975444,1.4310973720699298,4.410474664197361,6.101272869405252,5.107457046580354,3.382019749530454,2.365959959220621
