NPCINC,number_households,total_income,total_HH_expenditures,vatable_expenditures,exempt_expenditures,total_expenditures,vatable_share_exp,exempt_share_exp,vatable_share_income,exempt_share_income,vatable_share_HHexp,exempt_share_HHexp,vatable_share_decile,exempt_share_decile
1,2747642.5051594405,32807166219.14755,29276373226.599102,12730887016.797537,16287403643.337326,29018290660.13487,43.87193982548098,56.128060174519,38.805201679891795,49.6458716810212,43.48519168771515,55.63326959003029,4.510152876722155,5.534740512188647
2,2748295.654094682,41822410674.93709,35426039310.5661,16171881744.93473,18893257154.780624,35065138899.71537,46.11954280627704,53.88045719372292,38.667980835992445,45.174959668460204,45.649703042336256,53.331553632487385,5.729189087743189,6.4202544537869555
3,2747874.694440411,47728594014.964005,39497871055.72936,18492395560.589867,20558976669.909477,39051372230.49934,47.35402241805783,52.645977581942184,38.744899032207144,43.074758630987056,46.81871469603538,52.05084760366419,6.551274151206678,6.986294657874255
4,2747979.4784429423,55228987672.52085,44792749154.82215,21174220742.446968,23060388456.83772,44234609199.2847,47.86799550337017,52.132004496629804,38.33896226380081,41.75413931823958,47.271536447249886,51.48241376552159,7.501360468276307,7.836317501167719
5,2747628.851582892,62300009849.7969,49501029635.58716,23802239836.017155,25029174922.970795,48831414758.98796,48.743703113037675,51.256296886962296,38.20583639296929,40.17523429501094,48.08433281336295,50.56293799791365,8.432384980496659,8.505345079323982
6,2748336.931776766,70697712578.30975,54853430904.83502,26514380477.31043,27502940702.588516,54017321179.89891,49.08495996868693,50.91504003131313,37.503873195248346,38.90216486442093,48.33677682497219,50.13896168191055,9.393211111406815,9.345973332785176
7,2747846.3569293353,80541995781.49747,60962714759.23714,29742875498.60302,30134718319.903378,59877593818.50639,49.67279678731909,50.327203212680914,36.92840636739686,37.41491383160645,48.788633537840184,49.43139169394902,10.536965359524302,10.240296732425515
8,2747984.4327531583,95316514865.33221,69592985603.74805,33989743428.75319,34113196809.40093,68102940238.15411,49.9093626646544,50.0906373353456,35.65986804781474,35.789387450430496,48.84076050751099,49.01815393240393,12.041497100867495,11.592252302194968
9,2748042.5822946103,117372854152.93349,82061193028.96939,40088129768.291016,39657623068.68239,79745752836.97337,50.26992453158524,49.73007546841479,34.1545155884659,33.78773001209431,48.85150737954667,48.326890707867705,14.201963583394525,13.476343917167668
10,2748063.5193039025,205068163103.01086,124958992792.82492,59564986259.14622,59038151385.29933,118603137644.4455,50.22209988888587,49.77790011111418,29.04643283376232,28.789525634772957,47.667626737278255,47.24602052705507,21.102001280361872,20.06218151108512
