NPCINC,households,vatable_expenditures,exempt_expenditures,total_expenditures,vatable_share,exempt_share,vatable_share_decile,exempt_share_decile,estimated_vat_paid,effective_vat_rate,vat_to_expenditure,estimated_vat_foregone,vat_foregone_to_expenditure
1,20000,1151613689.659008,1429782865.4714508,2581396555.1304593,44.61204100432401,55.387958995675966,5.763947800032272,7.354298188495058,138193642.75908095,5.353444920518881,44.612041004324006,171573943.8565741,6.646555079481116
2,18753,1346245796.458787,1530720240.287384,2876966036.7461715,46.79394123058128,53.2060587694187,6.738101992430255,7.873484402490911,161549495.57505444,5.615272947669754,46.79394123058128,183686428.83448607,6.384727052330244
3,17672,1436509340.5013554,1554278106.959798,2990787447.4611545,48.03114115383866,51.968858846161304,7.189880536554137,7.994657750121298,172381120.86016265,5.76373693846064,48.03114115383866,186513372.83517575,6.236263061539356
4,16828,1534231651.719158,1613824280.9340773,3148055932.653235,48.735844741680985,51.26415525831902,7.678990995917211,8.300942242659579,184107798.20629895,5.848301369001718,48.735844741680985,193658913.71208927,6.151698630998283
5,16042,1647209382.132782,1667469128.361228,3314678510.4940095,49.69439349601621,50.3056065039838,8.244456434994326,8.57687239526041,197665125.85593385,5.963327219521945,49.69439349601622,200096295.40334734,6.036672780478057
6,15227,1762217048.785652,1740379133.324668,3502596182.110319,50.31173898339356,49.68826101660646,8.820081918733528,8.95189571549651,211466045.85427824,6.037408678007227,50.31173898339356,208845495.99896014,5.962591321992774
7,14971,1966624678.2084937,1878212016.2889001,3844836694.497393,51.14975835054487,48.85024164945515,9.843163631378387,9.660859395212077,235994961.38501924,6.137971002065385,51.14975835054487,225385441.95466802,5.862028997934618
8,14713,2229424429.587918,2079067571.944541,4308492001.53246,51.74488959930639,48.255110400693574,11.158504064037691,10.693989449278277,267530931.55055013,6.209386751916767,51.74488959930639,249488108.63334492,5.790613248083229
9,14543,2677231725.3092737,2413999820.342768,5091231545.652042,52.585149610719505,47.41485038928048,13.399826740373525,12.416762666910492,321267807.03711283,6.31021795328634,52.585149610719505,289679978.4411322,5.689782046713658
10,14519,4228291823.972303,3533725814.5663595,7762017638.538664,54.47413315551744,45.52586684448253,21.163045885548676,18.176237794075394,507395018.8766763,6.536895978662094,54.47413315551744,424047097.74796313,5.463104021337903
